City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,prado,-17.3411,-39.2208,24.05000000000001,89,14,4.72,BR,1699673778
321,prince rupert,54.3161,-130.3201,7.830000000000041,94,100,13.89,CA,1699673778
322,portland,45.5234,-122.6762,11.080000000000041,89,100,4.92,US,1699673314
323,formosa do rio preto,-11.0483,-45.1931,26.189999999999998,39,71,0.99,BR,1699673779
324,novodvinsk,64.4165,40.8122,0.4399999999999977,98,100,1.39,RU,1699673780
325,vieste,41.8825,16.175,15.950000000000045,65,57,10.54,IT,1699673780
326,rawah,34.4816,41.9093,19.180000000000007,37,98,3.61,IQ,1699673780
327,onguday,50.75,86.15,1.0100000000000477,86,100,1.22,RU,1699673781
328,kirensk,57.7853,108.1119,-10.579999999999984,70,75,1.79,RU,1699673781
329,ozherel'ye,54.7961,38.2672,4.210000000000036,88,100,4.39,RU,1699673781
